starting_time,end_time,total_time,algorithm
1529534550.6745362,1529534550.8130217,0.13848543167114258,partition_sort
1529534550.8130283,1529534550.9256136,0.11258530616760254,qs1
1529534550.9256191,1529534551.1105604,0.18494129180908203,qs2
1529534551.1105657,1529534551.2879872,0.17742156982421875,qs3
1529534551.2879918,1529534551.4408102,0.1528184413909912,qs4
1529534551.4408147,1529534551.5942554,0.1534407138824463,qs5
1529534551.59426,1529534551.7884822,0.19422221183776855,merge1
1529534551.7884884,1529534551.9261825,0.1376941204071045,partition_sort
1529534551.9261897,1529534552.0369792,0.11078953742980957,qs1
1529534552.0369842,1529534552.2184525,0.18146824836730957,qs2
1529534552.218457,1529534552.3930826,0.17462563514709473,qs3
1529534552.3930871,1529534552.5482264,0.15513920783996582,qs4
1529534552.5482306,1529534552.7017858,0.15355515480041504,qs5
1529534552.7017908,1529534552.8984234,0.19663262367248535,merge1
1529534552.8984296,1529534553.0343285,0.13589882850646973,partition_sort
1529534553.0343351,1529534553.1618059,0.1274707317352295,qs1
1529534553.161812,1529534553.401394,0.23958182334899902,qs2
1529534553.4013994,1529534553.6008463,0.1994469165802002,qs3
1529534553.6008515,1529534553.7643692,0.16351771354675293,qs4
1529534553.7643733,1529534553.918881,0.15450763702392578,qs5
1529534553.9188857,1529534554.120063,0.20117735862731934,merge1
1529534554.120071,1529534554.26335,0.1432790756225586,partition_sort
1529534554.2633574,1529534554.3743567,0.11099934577941895,qs1
1529534554.3743615,1529534554.5561264,0.18176484107971191,qs2
1529534554.5561318,1529534554.7326946,0.17656278610229492,qs3
1529534554.7327006,1529534554.8965814,0.1638808250427246,qs4
1529534554.8965864,1529534555.050198,0.1536116600036621,qs5
1529534555.0502024,1529534555.2498143,0.19961190223693848,merge1
1529534555.2498214,1529534555.3954065,0.1455850601196289,partition_sort
1529534555.3954139,1529534555.505849,0.11043500900268555,qs1
1529534555.5058544,1529534555.7338774,0.22802305221557617,qs2
1529534555.7338893,1529534555.9338236,0.1999342441558838,qs3
1529534555.9338288,1529534556.091261,0.15743207931518555,qs4
1529534556.091269,1529534556.2477605,0.15649151802062988,qs5
1529534556.2477653,1529534556.4459565,0.19819116592407227,merge1
1529534556.445962,1529534556.5824442,0.13648223876953125,partition_sort
1529534556.5824506,1529534556.6939068,0.11145615577697754,qs1
1529534556.6939127,1529534556.8779588,0.18404603004455566,qs2
1529534556.8779635,1529534557.0611727,0.18320918083190918,qs3
1529534557.0611773,1529534557.218033,0.15685582160949707,qs4
1529534557.2180362,1529534557.3743148,0.1562786102294922,qs5
1529534557.374319,1529534557.568172,0.19385290145874023,merge1
1529534557.5681772,1529534557.705058,0.13688087463378906,partition_sort
